"endTime","artistName","trackName","msPlayed"
"2022-05-08 12:20","18 Kilates","Chica del Este",870
"2022-05-08 12:20","La Repandilla","El Amor Más Grande del Planeta",18001
"2022-05-08 12:22","Mario Luis","Qué Vuelva",99243
"2022-05-08 12:25","Rodrigo Tapari","Es Tan Grande Este Amor",194166
"2022-05-08 12:29","La Liga","Entre Vos Yo y el Cielo",263955
"2022-05-08 12:34","Los Charros","Cómo Dejar de Amarte",241746
"2022-05-08 12:34","Nestor En Bloque","Dejenlá Que Llore",46167
"2022-05-10 16:23","Nuestro Día","Nuestra agenda del martes 10 de mayo ",1314390
"2022-05-10 16:29","Nuestro Día","Conflictos históricos con ministros de economías",350917
"2022-05-10 16:50","Nuestro Día","Dime dónde estás y te diré qué alfajor necesitas ",1066540
"2022-05-10 16:53","Nuestro Día","¿Cuánto nos aumentarán los servicios en junio? ",170359
"2022-05-10 17:20","Nuestro Día","¿Por qué es urgente una nueva ley de VIH?",1638633
"2022-05-10 17:21","Nuestro Día","Nuestra agenda del martes 10 de mayo ",51555
"2022-05-10 17:44","Nuestro Día","Cruising, ghosting, orbiting, zombieng",1405505
"2022-05-10 17:51","Nuestro Día","¿Cuál es el futuro de los noticieros?",363114
"2022-05-12 11:39","Nuestro Día","Golden ticket, golden shower",736030
"2022-05-12 12:23","Nuestro Día","Cruising, ghosting, orbiting, zombieng",1001
"2022-05-12 12:23","Nuestro Día","The More Rial Show",1627380
"2022-05-12 15:14","Nuestro Día","Distintas miradas sobre Venezuela",655245
"2022-05-12 15:20","Nuestro Día","El rebrote de hepatitis infantil, explicado",361582
"2022-05-12 15:20","Nuestro Día","Dime dónde estás y te diré qué alfajor necesitas ",28310
"2022-05-12 15:45","Nuestro Día","Drones delivery en el mejor país",1061803
"2022-05-12 15:49","Nuestro Día","Cinco minutos al futuro: criogenia",188256
"2022-05-13 11:02","La Contra","No Me Enseñaste",182185
"2022-05-13 11:02","La Contra","Disfruto",7536
"2022-05-13 11:06","La Contra","Adicto a Tu Piel",199399
"2022-05-13 11:09","La Contra","No Me Enseñaste",182185
"2022-05-13 11:13","La Liga","Entre Vos Yo y el Cielo",263955
"2022-05-13 11:16","Mario Pereyra y Su Banda","Nada",186435
"2022-05-13 11:19","Los del Fuego","Donde Estas Corazón",166747
"2022-05-13 11:19","La Contra","Otro Día Más Sin Verte",8317
"2022-05-13 11:23","La contrà","Entre tú y mil mares",227835
"2022-05-13 11:26","La Contra","No Me Enseñaste",182185
"2022-05-13 11:29","Mario Pereyra y Su Banda","Nada",186435
"2022-05-13 11:30","Los Cadiz","Si un Amor Se Va",40595
"2022-05-13 11:34","La Contra","Loco",222723
"2022-05-13 11:37","La Contra","No Me Enseñaste",182185
"2022-05-13 11:39","Los Cadiz","Si un Amor Se Va",148273
"2022-05-13 11:39","La contrà","Volando Entre Tus Brazos",13584
"2022-05-13 11:43","Ezequiel El Brujo","Se Me Va la Voz",230566
"2022-05-13 11:54","La Contra","Enganchado",669432
"2022-05-13 11:58","La Contra","Tu Me Vas a Dejar",217357
"2022-05-13 11:58","La Contra","Se Te Olvidó",22546
"2022-05-13 12:02","La Contra","Yo Renaceré",240727
"2022-05-13 12:06","La Contra","No Saber de Ti",29614
"2022-05-13 12:06","La Contra","Yo Vivo por Tu Amor",200235
"2022-05-13 12:09","Mario Luis","Voy a Olvidarme de Mí",196395
"2022-05-13 12:11","Los del Fuego","Jurabas Tu",60599
